State,Notes,Total Medicaid Enrollees,Total Medicaid Enrollment in Any Type of Managed Care,Medicaid Enrollment in Comprehensive Managed Care,Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs,Year
Ohio,,"3,425,876","2,962,997","2,962,985","909,685",2022
Oklahoma,,"1,273,948","824,413",713,0,2022
Oregon,,"1,393,623","1,265,779","1,265,779","602,315",2022
Pennsylvania,,"3,534,344","3,484,439","3,288,966","1,297,110",2022
Puerto Rico,,"1,597,058","1,594,058","1,594,058","600,145",2022
Rhode Island,,"357,304","351,133","300,893","106,042",2022
South Carolina,,"1,550,759","1,060,312","1,045,650",0,2022
South Dakota,,"149,096","104,455",0,0,2022
Tennessee,,"1,817,119","1,697,632","1,697,632",0,2022
Texas,,"5,543,480","5,328,691","5,295,360",0,2022
Utah,,"477,832","449,492","396,559","83,116",2022
Vermont,,"199,989","134,347","134,337","57,962",2022
Virgin Islands,,n/a,n/a,n/a,n/a,2022
Virginia,,"1,978,005","1,794,045","1,794,045","61,567",2022
Washington,,"2,229,539","1,894,623","1,894,623","810,527",2022
West Virginia,,"660,068","589,322","521,017","214,921",2022
Wisconsin,,"1,593,772","1,162,594","1,106,248",0,2022
Wyoming,"Total Medicaid Enrollment as of July 1, 2022, was taken from the July - September 2022 enrollment data collected through the Medicaid Budget and Expenditure System accessed April 18, 2024. See https://data.medicaid.gov/dataset/6c114b2c-cb83-559b-832f-4d8b06d6c1b9/.","83,379",0,0,0,2022
