State,Total Medicaid Enrollees,Total Medicaid Enrollment in Any Type of Managed Care,Medicaid Enrollment in Comprehensive Managed Care,Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs,Year,combined
Delaware,222859.0,208221.0,208221.0,55786.0,2017,"State: Delaware, Year: 2017, Total Medicaid Enrollees: 222859.0, Medicaid Enrollment in Managed Care: 208221.0, Medicaid Enrollment in Comprehensive Managed Care: 208221.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 55786.0"
Virgin Islands,0.0,0.0,0.0,0.0,2017,"State: Virgin Islands, Year: 2017, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Maryland,1326080.0,1161315.0,1161315.0,288234.0,2017,"State: Maryland, Year: 2017, Total Medicaid Enrollees: 1326080.0, Medicaid Enrollment in Managed Care: 1161315.0, Medicaid Enrollment in Comprehensive Managed Care: 1161315.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 288234.0"
Wisconsin,1197770.0,799040.0,748664.0,0.0,2017,"State: Wisconsin, Year: 2017, Total Medicaid Enrollees: 1197770.0, Medicaid Enrollment in Managed Care: 799040.0, Medicaid Enrollment in Comprehensive Managed Care: 748664.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
California,13515168.0,10805936.0,10805232.0,3156055.0,2017,"State: California, Year: 2017, Total Medicaid Enrollees: 13515168.0, Medicaid Enrollment in Managed Care: 10805936.0, Medicaid Enrollment in Comprehensive Managed Care: 10805232.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3156055.0"
Northern Mariana Islands,0.0,0.0,0.0,0.0,2017,"State: Northern Mariana Islands, Year: 2017, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
District of Columbia,265547.0,196704.0,196704.0,65641.0,2017,"State: District of Columbia, Year: 2017, Total Medicaid Enrollees: 265547.0, Medicaid Enrollment in Managed Care: 196704.0, Medicaid Enrollment in Comprehensive Managed Care: 196704.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 65641.0"
Idaho,299253.0,292732.0,2290.0,0.0,2017,"State: Idaho, Year: 2017, Total Medicaid Enrollees: 299253.0, Medicaid Enrollment in Managed Care: 292732.0, Medicaid Enrollment in Comprehensive Managed Care: 2290.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Pennsylvania,2835800.0,2562466.0,2265668.0,700899.0,2017,"State: Pennsylvania, Year: 2017, Total Medicaid Enrollees: 2835800.0, Medicaid Enrollment in Managed Care: 2562466.0, Medicaid Enrollment in Comprehensive Managed Care: 2265668.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 700899.0"
Nebraska,247894.0,246633.0,246633.0,0.0,2017,"State: Nebraska, Year: 2017, Total Medicaid Enrollees: 247894.0, Medicaid Enrollment in Managed Care: 246633.0, Medicaid Enrollment in Comprehensive Managed Care: 246633.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Tennessee,1522658.0,1409555.0,1409555.0,0.0,2017,"State: Tennessee, Year: 2017, Total Medicaid Enrollees: 1522658.0, Medicaid Enrollment in Managed Care: 1409555.0, Medicaid Enrollment in Comprehensive Managed Care: 1409555.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Iowa,623501.0,556741.0,556741.0,157186.0,2017,"State: Iowa, Year: 2017, Total Medicaid Enrollees: 623501.0, Medicaid Enrollment in Managed Care: 556741.0, Medicaid Enrollment in Comprehensive Managed Care: 556741.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 157186.0"
Alabama,1037814.0,636919.0,172.0,0.0,2017,"State: Alabama, Year: 2017, Total Medicaid Enrollees: 1037814.0, Medicaid Enrollment in Managed Care: 636919.0, Medicaid Enrollment in Comprehensive Managed Care: 172.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Michigan,4668815.0,4655013.0,2413094.0,553352.0,2017,"State: Michigan, Year: 2017, Total Medicaid Enrollees: 4668815.0, Medicaid Enrollment in Managed Care: 4655013.0, Medicaid Enrollment in Comprehensive Managed Care: 2413094.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 553352.0"
Vermont,183918.0,96823.0,96823.0,40682.0,2017,"State: Vermont, Year: 2017, Total Medicaid Enrollees: 183918.0, Medicaid Enrollment in Managed Care: 96823.0, Medicaid Enrollment in Comprehensive Managed Care: 96823.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 40682.0"
Maine,273451.0,238937.0,0.0,0.0,2017,"State: Maine, Year: 2017, Total Medicaid Enrollees: 273451.0, Medicaid Enrollment in Managed Care: 238937.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
North Dakota,92595.0,49733.0,20672.0,20515.0,2017,"State: North Dakota, Year: 2017, Total Medicaid Enrollees: 92595.0, Medicaid Enrollment in Managed Care: 49733.0, Medicaid Enrollment in Comprehensive Managed Care: 20672.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 20515.0"
Florida,3916490.0,3280341.0,3182703.0,0.0,2017,"State: Florida, Year: 2017, Total Medicaid Enrollees: 3916490.0, Medicaid Enrollment in Managed Care: 3280341.0, Medicaid Enrollment in Comprehensive Managed Care: 3182703.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Arkansas,993792.0,522252.0,209.0,0.0,2017,"State: Arkansas, Year: 2017, Total Medicaid Enrollees: 993792.0, Medicaid Enrollment in Managed Care: 522252.0, Medicaid Enrollment in Comprehensive Managed Care: 209.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
New Jersey,1678888.0,1560395.0,1560395.0,521538.0,2017,"State: New Jersey, Year: 2017, Total Medicaid Enrollees: 1678888.0, Medicaid Enrollment in Managed Care: 1560395.0, Medicaid Enrollment in Comprehensive Managed Care: 1560395.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 521538.0"
West Virginia,521186.0,424662.0,424662.0,161432.0,2017,"State: West Virginia, Year: 2017, Total Medicaid Enrollees: 521186.0, Medicaid Enrollment in Managed Care: 424662.0, Medicaid Enrollment in Comprehensive Managed Care: 424662.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 161432.0"
Minnesota,1107499.0,846115.0,846115.0,179196.0,2017,"State: Minnesota, Year: 2017, Total Medicaid Enrollees: 1107499.0, Medicaid Enrollment in Managed Care: 846115.0, Medicaid Enrollment in Comprehensive Managed Care: 846115.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 179196.0"
Puerto Rico,1401921.0,1401921.0,1401921.0,0.0,2017,"State: Puerto Rico, Year: 2017, Total Medicaid Enrollees: 1401921.0, Medicaid Enrollment in Managed Care: 1401921.0, Medicaid Enrollment in Comprehensive Managed Care: 1401921.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Alabama,1019417.0,638221.0,174.0,0.0,2018,"State: Alabama, Year: 2018, Total Medicaid Enrollees: 1019417.0, Medicaid Enrollment in Managed Care: 638221.0, Medicaid Enrollment in Comprehensive Managed Care: 174.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Alaska5,198417.0,0.0,0.0,0.0,2018,"State: Alaska5, Year: 2018, Total Medicaid Enrollees: 198417.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
American Samoa,0.0,0.0,0.0,0.0,2018,"State: American Samoa, Year: 2018, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Arizona,1849465.0,1560593.0,1560593.0,383615.0,2018,"State: Arizona, Year: 2018, Total Medicaid Enrollees: 1849465.0, Medicaid Enrollment in Managed Care: 1560593.0, Medicaid Enrollment in Comprehensive Managed Care: 1560593.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 383615.0"
Arkansas,979619.0,871262.0,258.0,0.0,2018,"State: Arkansas, Year: 2018, Total Medicaid Enrollees: 979619.0, Medicaid Enrollment in Managed Care: 871262.0, Medicaid Enrollment in Comprehensive Managed Care: 258.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
California,13140347.0,10670306.0,10661382.0,3144393.0,2018,"State: California, Year: 2018, Total Medicaid Enrollees: 13140347.0, Medicaid Enrollment in Managed Care: 10670306.0, Medicaid Enrollment in Comprehensive Managed Care: 10661382.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3144393.0"
Colorado6,1302808.0,1171171.0,122207.0,47361.0,2018,"State: Colorado6, Year: 2018, Total Medicaid Enrollees: 1302808.0, Medicaid Enrollment in Managed Care: 1171171.0, Medicaid Enrollment in Comprehensive Managed Care: 122207.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 47361.0"
Connecticut7,928800.0,0.0,0.0,0.0,2018,"State: Connecticut7, Year: 2018, Total Medicaid Enrollees: 928800.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Delaware,236760.0,208802.0,199887.0,57851.0,2018,"State: Delaware, Year: 2018, Total Medicaid Enrollees: 236760.0, Medicaid Enrollment in Managed Care: 208802.0, Medicaid Enrollment in Comprehensive Managed Care: 199887.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 57851.0"
District of Columbia,264984.0,245921.0,189363.0,65150.0,2018,"State: District of Columbia, Year: 2018, Total Medicaid Enrollees: 264984.0, Medicaid Enrollment in Managed Care: 245921.0, Medicaid Enrollment in Comprehensive Managed Care: 189363.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 65150.0"
Florida,3885169.0,3178981.0,3027995.0,0.0,2018,"State: Florida, Year: 2018, Total Medicaid Enrollees: 3885169.0, Medicaid Enrollment in Managed Care: 3178981.0, Medicaid Enrollment in Comprehensive Managed Care: 3027995.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Georgia8,2074310.0,1485250.0,1445804.0,0.0,2018,"State: Georgia8, Year: 2018, Total Medicaid Enrollees: 2074310.0, Medicaid Enrollment in Managed Care: 1485250.0, Medicaid Enrollment in Comprehensive Managed Care: 1445804.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Guam,0.0,0.0,0.0,0.0,2018,"State: Guam, Year: 2018, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Hawaii,355873.0,351685.0,351685.0,23714.0,2018,"State: Hawaii, Year: 2018, Total Medicaid Enrollees: 355873.0, Medicaid Enrollment in Managed Care: 351685.0, Medicaid Enrollment in Comprehensive Managed Care: 351685.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 23714.0"
Idaho,300252.0,272979.0,3799.0,0.0,2018,"State: Idaho, Year: 2018, Total Medicaid Enrollees: 300252.0, Medicaid Enrollment in Managed Care: 272979.0, Medicaid Enrollment in Comprehensive Managed Care: 3799.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Illinois,3110093.0,2176902.0,2145760.0,476583.0,2018,"State: Illinois, Year: 2018, Total Medicaid Enrollees: 3110093.0, Medicaid Enrollment in Managed Care: 2176902.0, Medicaid Enrollment in Comprehensive Managed Care: 2145760.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 476583.0"
Indiana,1457544.0,1126425.0,1126425.0,344386.0,2018,"State: Indiana, Year: 2018, Total Medicaid Enrollees: 1457544.0, Medicaid Enrollment in Managed Care: 1126425.0, Medicaid Enrollment in Comprehensive Managed Care: 1126425.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 344386.0"
Iowa,626011.0,580507.0,564926.0,166755.0,2018,"State: Iowa, Year: 2018, Total Medicaid Enrollees: 626011.0, Medicaid Enrollment in Managed Care: 580507.0, Medicaid Enrollment in Comprehensive Managed Care: 564926.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 166755.0"
Kansas,417140.0,358225.0,358225.0,0.0,2018,"State: Kansas, Year: 2018, Total Medicaid Enrollees: 417140.0, Medicaid Enrollment in Managed Care: 358225.0, Medicaid Enrollment in Comprehensive Managed Care: 358225.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Kentucky,1385239.0,1259525.0,1259525.0,459092.0,2018,"State: Kentucky, Year: 2018, Total Medicaid Enrollees: 1385239.0, Medicaid Enrollment in Managed Care: 1259525.0, Medicaid Enrollment in Comprehensive Managed Care: 1259525.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 459092.0"
Louisiana,1640075.0,1504540.0,1385242.0,473308.0,2018,"State: Louisiana, Year: 2018, Total Medicaid Enrollees: 1640075.0, Medicaid Enrollment in Managed Care: 1504540.0, Medicaid Enrollment in Comprehensive Managed Care: 1385242.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 473308.0"
Maine,270243.0,234327.0,0.0,0.0,2018,"State: Maine, Year: 2018, Total Medicaid Enrollees: 270243.0, Medicaid Enrollment in Managed Care: 234327.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Maryland,1401781.0,1169708.0,1169708.0,291852.0,2018,"State: Maryland, Year: 2018, Total Medicaid Enrollees: 1401781.0, Medicaid Enrollment in Managed Care: 1169708.0, Medicaid Enrollment in Comprehensive Managed Care: 1169708.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 291852.0"
Massachusetts,1865755.0,1211485.0,750573.0,180657.0,2018,"State: Massachusetts, Year: 2018, Total Medicaid Enrollees: 1865755.0, Medicaid Enrollment in Managed Care: 1211485.0, Medicaid Enrollment in Comprehensive Managed Care: 750573.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 180657.0"
Michigan,4623834.0,4608988.0,2379554.0,554203.0,2018,"State: Michigan, Year: 2018, Total Medicaid Enrollees: 4623834.0, Medicaid Enrollment in Managed Care: 4608988.0, Medicaid Enrollment in Comprehensive Managed Care: 2379554.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 554203.0"
Minnesota,1122672.0,892137.0,892137.0,184105.0,2018,"State: Minnesota, Year: 2018, Total Medicaid Enrollees: 1122672.0, Medicaid Enrollment in Managed Care: 892137.0, Medicaid Enrollment in Comprehensive Managed Care: 892137.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 184105.0"
Mississippi,683577.0,441782.0,441782.0,0.0,2018,"State: Mississippi, Year: 2018, Total Medicaid Enrollees: 683577.0, Medicaid Enrollment in Managed Care: 441782.0, Medicaid Enrollment in Comprehensive Managed Care: 441782.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Missouri,971143.0,954603.0,712335.0,0.0,2018,"State: Missouri, Year: 2018, Total Medicaid Enrollees: 971143.0, Medicaid Enrollment in Managed Care: 954603.0, Medicaid Enrollment in Comprehensive Managed Care: 712335.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Montana,291890.0,215475.0,0.0,0.0,2018,"State: Montana, Year: 2018, Total Medicaid Enrollees: 291890.0, Medicaid Enrollment in Managed Care: 215475.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Nebraska,250056.0,249024.0,249022.0,0.0,2018,"State: Nebraska, Year: 2018, Total Medicaid Enrollees: 250056.0, Medicaid Enrollment in Managed Care: 249024.0, Medicaid Enrollment in Comprehensive Managed Care: 249022.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Nevada,666561.0,588111.0,457782.0,187715.0,2018,"State: Nevada, Year: 2018, Total Medicaid Enrollees: 666561.0, Medicaid Enrollment in Managed Care: 588111.0, Medicaid Enrollment in Comprehensive Managed Care: 457782.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 187715.0"
New Hampshire,200850.0,133829.0,133829.0,9046.0,2018,"State: New Hampshire, Year: 2018, Total Medicaid Enrollees: 200850.0, Medicaid Enrollment in Managed Care: 133829.0, Medicaid Enrollment in Comprehensive Managed Care: 133829.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 9046.0"
New Jersey,1668451.0,1569344.0,1569344.0,523347.0,2018,"State: New Jersey, Year: 2018, Total Medicaid Enrollees: 1668451.0, Medicaid Enrollment in Managed Care: 1569344.0, Medicaid Enrollment in Comprehensive Managed Care: 1569344.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 523347.0"
New Mexico,842138.0,666050.0,666050.0,224743.0,2018,"State: New Mexico, Year: 2018, Total Medicaid Enrollees: 842138.0, Medicaid Enrollment in Managed Care: 666050.0, Medicaid Enrollment in Comprehensive Managed Care: 666050.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 224743.0"
New York,6153799.0,4764261.0,4552993.0,3337546.0,2018,"State: New York, Year: 2018, Total Medicaid Enrollees: 6153799.0, Medicaid Enrollment in Managed Care: 4764261.0, Medicaid Enrollment in Comprehensive Managed Care: 4552993.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3337546.0"
North Carolina,2178225.0,1581469.0,2112.0,0.0,2018,"State: North Carolina, Year: 2018, Total Medicaid Enrollees: 2178225.0, Medicaid Enrollment in Managed Care: 1581469.0, Medicaid Enrollment in Comprehensive Managed Care: 2112.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
North Dakota,93042.0,48957.0,19696.0,19515.0,2018,"State: North Dakota, Year: 2018, Total Medicaid Enrollees: 93042.0, Medicaid Enrollment in Managed Care: 48957.0, Medicaid Enrollment in Comprehensive Managed Care: 19696.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 19515.0"
Northern Mariana Islands,0.0,0.0,0.0,0.0,2018,"State: Northern Mariana Islands, Year: 2018, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Ohio,2915546.0,2450031.0,2450031.0,606662.0,2018,"State: Ohio, Year: 2018, Total Medicaid Enrollees: 2915546.0, Medicaid Enrollment in Managed Care: 2450031.0, Medicaid Enrollment in Comprehensive Managed Care: 2450031.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 606662.0"
Oklahoma,880954.0,649023.0,466.0,0.0,2018,"State: Oklahoma, Year: 2018, Total Medicaid Enrollees: 880954.0, Medicaid Enrollment in Managed Care: 649023.0, Medicaid Enrollment in Comprehensive Managed Care: 466.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Oregon,1062787.0,847570.0,847570.0,386277.0,2018,"State: Oregon, Year: 2018, Total Medicaid Enrollees: 1062787.0, Medicaid Enrollment in Managed Care: 847570.0, Medicaid Enrollment in Comprehensive Managed Care: 847570.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 386277.0"
Pennsylvania,2897085.0,2627563.0,2359277.0,705010.0,2018,"State: Pennsylvania, Year: 2018, Total Medicaid Enrollees: 2897085.0, Medicaid Enrollment in Managed Care: 2627563.0, Medicaid Enrollment in Comprehensive Managed Care: 2359277.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 705010.0"
Puerto Rico9,1505610.0,1505610.0,1505610.0,0.0,2018,"State: Puerto Rico9, Year: 2018, Total Medicaid Enrollees: 1505610.0, Medicaid Enrollment in Managed Care: 1505610.0, Medicaid Enrollment in Comprehensive Managed Care: 1505610.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Rhode Island,313095.0,302407.0,248278.0,73323.0,2018,"State: Rhode Island, Year: 2018, Total Medicaid Enrollees: 313095.0, Medicaid Enrollment in Managed Care: 302407.0, Medicaid Enrollment in Comprehensive Managed Care: 248278.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 73323.0"
South Carolina,1195703.0,1195703.0,745911.0,0.0,2018,"State: South Carolina, Year: 2018, Total Medicaid Enrollees: 1195703.0, Medicaid Enrollment in Managed Care: 1195703.0, Medicaid Enrollment in Comprehensive Managed Care: 745911.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
South Dakota,123890.0,92184.0,0.0,0.0,2018,"State: South Dakota, Year: 2018, Total Medicaid Enrollees: 123890.0, Medicaid Enrollment in Managed Care: 92184.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Tennessee,1510045.0,1386664.0,1386664.0,0.0,2018,"State: Tennessee, Year: 2018, Total Medicaid Enrollees: 1510045.0, Medicaid Enrollment in Managed Care: 1386664.0, Medicaid Enrollment in Comprehensive Managed Care: 1386664.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Texas,3981912.0,3845916.0,3695426.0,0.0,2018,"State: Texas, Year: 2018, Total Medicaid Enrollees: 3981912.0, Medicaid Enrollment in Managed Care: 3845916.0, Medicaid Enrollment in Comprehensive Managed Care: 3695426.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Utah,275511.0,271137.0,226893.0,0.0,2018,"State: Utah, Year: 2018, Total Medicaid Enrollees: 275511.0, Medicaid Enrollment in Managed Care: 271137.0, Medicaid Enrollment in Comprehensive Managed Care: 226893.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Vermont,174682.0,123310.0,123310.0,48637.0,2018,"State: Vermont, Year: 2018, Total Medicaid Enrollees: 174682.0, Medicaid Enrollment in Managed Care: 123310.0, Medicaid Enrollment in Comprehensive Managed Care: 123310.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 48637.0"
Virgin Islands,0.0,0.0,0.0,0.0,2018,"State: Virgin Islands, Year: 2018, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Virginia,1063122.0,875351.0,875351.0,0.0,2018,"State: Virginia, Year: 2018, Total Medicaid Enrollees: 1063122.0, Medicaid Enrollment in Managed Care: 875351.0, Medicaid Enrollment in Comprehensive Managed Care: 875351.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Washington,1781048.0,1781048.0,1574163.0,491177.0,2018,"State: Washington, Year: 2018, Total Medicaid Enrollees: 1781048.0, Medicaid Enrollment in Managed Care: 1781048.0, Medicaid Enrollment in Comprehensive Managed Care: 1574163.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 491177.0"
West Virginia,505528.0,407193.0,407193.0,152589.0,2018,"State: West Virginia, Year: 2018, Total Medicaid Enrollees: 505528.0, Medicaid Enrollment in Managed Care: 407193.0, Medicaid Enrollment in Comprehensive Managed Care: 407193.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 152589.0"
Wisconsin,1197453.0,811920.0,759015.0,0.0,2018,"State: Wisconsin, Year: 2018, Total Medicaid Enrollees: 1197453.0, Medicaid Enrollment in Managed Care: 811920.0, Medicaid Enrollment in Comprehensive Managed Care: 759015.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Wyoming,58390.0,136.0,136.0,0.0,2018,"State: Wyoming, Year: 2018, Total Medicaid Enrollees: 58390.0, Medicaid Enrollment in Managed Care: 136.0, Medicaid Enrollment in Comprehensive Managed Care: 136.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Alabama,1039621.0,869791.0,173.0,0.0,2019,"State: Alabama, Year: 2019, Total Medicaid Enrollees: 1039621.0, Medicaid Enrollment in Managed Care: 869791.0, Medicaid Enrollment in Comprehensive Managed Care: 173.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Alaska5,207174.0,0.0,0.0,0.0,2019,"State: Alaska5, Year: 2019, Total Medicaid Enrollees: 207174.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
American Samoa,0.0,0.0,0.0,0.0,2019,"State: American Samoa, Year: 2019, Total Medicaid Enrollees: 0.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Arizona,1874857.0,1580628.0,1580628.0,399639.0,2019,"State: Arizona, Year: 2019, Total Medicaid Enrollees: 1874857.0, Medicaid Enrollment in Managed Care: 1580628.0, Medicaid Enrollment in Comprehensive Managed Care: 1580628.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 399639.0"
Arkansas,951645.0,822839.0,45600.0,0.0,2019,"State: Arkansas, Year: 2019, Total Medicaid Enrollees: 951645.0, Medicaid Enrollment in Managed Care: 822839.0, Medicaid Enrollment in Comprehensive Managed Care: 45600.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
California,12780305.0,10394575.0,10394126.0,3078552.0,2019,"State: California, Year: 2019, Total Medicaid Enrollees: 12780305.0, Medicaid Enrollment in Managed Care: 10394575.0, Medicaid Enrollment in Comprehensive Managed Care: 10394126.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 3078552.0"
Colorado6,1231952.0,1182928.0,117271.0,45636.0,2019,"State: Colorado6, Year: 2019, Total Medicaid Enrollees: 1231952.0, Medicaid Enrollment in Managed Care: 1182928.0, Medicaid Enrollment in Comprehensive Managed Care: 117271.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 45636.0"
Connecticut7,837367.0,0.0,0.0,0.0,2019,"State: Connecticut7, Year: 2019, Total Medicaid Enrollees: 837367.0, Medicaid Enrollment in Managed Care: 0.0, Medicaid Enrollment in Comprehensive Managed Care: 0.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 0.0"
Delaware,237244.0,208650.0,199985.0,63169.0,2019,"State: Delaware, Year: 2019, Total Medicaid Enrollees: 237244.0, Medicaid Enrollment in Managed Care: 208650.0, Medicaid Enrollment in Comprehensive Managed Care: 199985.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 63169.0"
District of Columbia,267329.0,249119.0,194136.0,66283.0,2019,"State: District of Columbia, Year: 2019, Total Medicaid Enrollees: 267329.0, Medicaid Enrollment in Managed Care: 249119.0, Medicaid Enrollment in Comprehensive Managed Care: 194136.0, Medicaid Newly Eligible Adults Enrolled in Comprehensive MCOs: 66283.0"
